SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-07-28;;5.04166667;;;;;;;;;;;;;;
KENNEDY;2025-07-27;;6.78695652;;;;;;;;;;;;;;
KENNEDY;2025-07-26;;12.0375;;;;;;;;;;;;;;
KENNEDY;2025-07-25;;11.86956522;;;;;;;;;;;;;;
KENNEDY;2025-07-24;;9.77083333;;;;;;;;;;;;;;
KENNEDY;2025-07-23;;9.57619048;;;;;;;;;;;;;;
KENNEDY;2025-07-22;;14.85416667;;;;;;;;;;;;;;
KENNEDY;2025-07-21;;7.52916667;;;;;;;;;;;;;;
KENNEDY;2025-07-20;;7.4875;;;;;;;;;;;;;;
KENNEDY;2025-07-19;;11.54166667;;;;;;;;;;;;;;
KENNEDY;2025-07-18;;9.15416667;;;;;;;;;;;;;;
KENNEDY;2025-07-17;;13.59090909;;;;;;;;;;;;;;
KENNEDY;2025-07-16;;12.625;;;;;;;;;;;;;;
KENNEDY;2025-07-15;;11.075;;;;;;;;;;;;;;
KENNEDY;2025-07-14;;9.64545455;;;;;;;;;;;;;;
KENNEDY;2025-07-13;;4.36428571;;;;;;;;;;;;;;
KENNEDY;2025-07-12;;12.22916667;;;;;;;;;;;;;;
KENNEDY;2025-07-11;;11.7875;;;;;;;;;;;;;;
KENNEDY;2025-07-10;;11.12173913;;;;;;;;;;;;;;
KENNEDY;2025-07-09;;12.6;;;;;;;;;;;;;;
KENNEDY;2025-07-08;;12.01666667;;;;;;;;;;;;;;
KENNEDY;2025-07-07;;8.73913043;;;;;;;;;;;;;;
KENNEDY;2025-07-06;;8.27916667;;;;;;;;;;;;;;
KENNEDY;2025-07-05;;10.5375;;;;;;;;;;;;;;
KENNEDY;2025-07-04;;8.53333333;;;;;;;;;;;;;;
KENNEDY;2025-07-03;;9.49166667;;;;;;;;;;;;;;
KENNEDY;2025-07-02;;9.7125;;;;;;;;;;;;;;
KENNEDY;2025-07-01;;4.1125;;;;;;;;;;;;;;
KENNEDY;2025-06-30;;6.975;;;;;;;;;;;;;;
KENNEDY;2025-06-29;;13.09166667;;;;;;;;;;;;;;
KENNEDY;2025-06-28;;8.54583333;;;;;;;;;;;;;;
KENNEDY;2025-06-27;;11.15833333;;;;;;;;;;;;;;
KENNEDY;2025-06-26;;19.42083333;;;;;;;;;;;;;;
KENNEDY;2025-06-25;;11.46818182;;;;;;;;;;;;;;
KENNEDY;2025-06-24;;6.59166667;;;;;;;;;;;;;;
KENNEDY;2025-06-23;;8.90416667;;;;;;;;;;;;;;
KENNEDY;2025-06-22;;11.82916667;;;;;;;;;;;;;;
KENNEDY;2025-06-21;;9.79583333;;;;;;;;;;;;;;
KENNEDY;2025-06-20;;10.24583333;;;;;;;;;;;;;;
KENNEDY;2025-06-19;;13.13636364;;;;;;;;;;;;;;
KENNEDY;2025-06-18;;10.30416667;;;;;;;;;;;;;;
KENNEDY;2025-06-17;;10.5625;;;;;;;;;;;;;;
KENNEDY;2025-06-16;;14.72083333;;;;;;;;;;;;;;
KENNEDY;2025-06-15;;17.25;;;;;;;;;;;;;;
KENNEDY;2025-06-14;;16.85;;;;;;;;;;;;;;
KENNEDY;2025-06-13;;15.77083333;;;;;;;;;;;;;;
KENNEDY;2025-06-12;;16.25416667;;;;;;;;;;;;;;
KENNEDY;2025-06-11;;13.32916667;;;;;;;;;;;;;;
KENNEDY;2025-06-10;;10.62380952;;;;;;;;;;;;;;
KENNEDY;2025-06-09;;12.94166667;;;;;;;;;;;;;;
KENNEDY;2025-06-08;;6.22916667;;;;;;;;;;;;;;
